Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country
Balanced Growth,Listed equity,BLACK CAT SYNDICATE LTD COMMON STOCK AUD,BFX28Y7,SEDOL,
Balanced Growth,Listed equity,BLACKSTONE GROUP,BKF2SL7,SEDOL,
Balanced Growth,Listed equity,BLOCK,BYNZGK1,SEDOL,
Balanced Growth,Listed equity,BLOCK INC CDI AUD,BMHJ8W1,SEDOL,
Balanced Growth,Listed equity,BLUESCOPE STEEL,6533232,SEDOL,
Balanced Growth,Listed equity,BLUESTAR ADISSEO CO COMMON STOCK CNY 1,BYV1QK1,SEDOL,
Balanced Growth,Listed equity,BMW VORZUG,5756030,SEDOL,
Balanced Growth,Listed equity,BNK FINANCIAL GROUP,B3S98W7,SEDOL,
Balanced Growth,Listed equity,BNP PARIBAS,7309681,SEDOL,
Balanced Growth,Listed equity,BOC HONG KONG HOLDINGS,6536112,SEDOL,
Balanced Growth,Listed equity,BOOKING HOLDINGS,BDRXDB4,SEDOL,
Balanced Growth,Listed equity,BOOZ ALLEN HAMILTON A,B5367T7,SEDOL,
Balanced Growth,Listed equity,BORALEX INC COMMON STOCK CAD 0,2099084,SEDOL,
Balanced Growth,Listed equity,BOROUGE PLC,BN2SB32,SEDOL,
Balanced Growth,Listed equity,BOSIDENG INTL HLDGS,B24FZ32,SEDOL,
Balanced Growth,Listed equity,BOSS ENERGY LTD,B1XLCQ6,SEDOL,
Balanced Growth,Listed equity,BOSTON SCIENTIFIC CORP,2113434,SEDOL,
Balanced Growth,Listed equity,BP,798059,SEDOL,
Balanced Growth,Listed equity,BRAMBLES,B1FJ0C0,SEDOL,
Balanced Growth,Listed equity,BRAVURA SOLUTIONS LIMITED,BZBHBM3,SEDOL,
Balanced Growth,Listed equity,BRAZILIAN RARE EARTHS LTD COMMON STOCK AUD,BMVMLB6,SEDOL,
Balanced Growth,Listed equity,BREVILLE GROUP LTD,6158709,SEDOL,
Balanced Growth,Listed equity,BRILLIANCE CHINA AUTO,6181482,SEDOL,
Balanced Growth,Listed equity,BRISTOL-MYERS SQUIBB CO,2126335,SEDOL,
Balanced Growth,Listed equity,BRITANNIA INDUSTRIES,BGSQG47,SEDOL,
Balanced Growth,Listed equity,BROADCOM,BDZ78H9,SEDOL,
Balanced Growth,Listed equity,BROADRIDGE FINANCIAL,B1VP7R6,SEDOL,
Balanced Growth,Listed equity,BROOKFIELD RENEWABLE CORP COMMON STOCK CAD,BSQLLY3,SEDOL,
Balanced Growth,Listed equity,BROS EASTERN CO LTD COMMON STOCK CNY 1,BTFRHP2,SEDOL,
Balanced Growth,Listed equity,BROTHER INDUSTRIES,6146500,SEDOL,
Balanced Growth,Listed equity,BRUNSWICK CORP/DE COMMON STOCK USD 0.75,2149309,SEDOL,
Balanced Growth,Listed equity,BT GROUP,3091357,SEDOL,
Balanced Growth,Listed equity,BUDIMEX,4149330,SEDOL,
Balanced Growth,Listed equity,BUILDERS FIRSTSOURCE,B0BV2M7,SEDOL,
Balanced Growth,Listed equity,BUNGE GLOBAL,BQ6BPG9,SEDOL,
Balanced Growth,Listed equity,BUNZL,B0744B3,SEDOL,
Balanced Growth,Listed equity,BUPA ARABIA FOR COPR INS,B2RLCR0,SEDOL,
Balanced Growth,Listed equity,BUREAU VERITAS SA,B28DTJ6,SEDOL,
Balanced Growth,Listed equity,BURJEEL HOLDINGS PLC COMMON STOCK AED 0.1,BQ1LDD7,SEDOL,
Balanced Growth,Listed equity,BURLINGTON STORES,BF311Y5,SEDOL,
