AsAtDate,OptionName,Type,Name,Currency,SecurityIdentifier,UnitsHeld,Address,Ownership,Value,Weighting,ActualExposure,EffectOfExposure,TotalValue,TotalWeighting,TotalActualExposure
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,WELLINGTON INTERNATIONAL MANAGEMENT COMPANY PTY LTD,n/a,n/a,n/a,n/a,n/a,"$210,015,186",0.87%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,BAIN CAPITAL,n/a,n/a,n/a,n/a,n/a,"$181,493,943",0.75%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,PAYDEN & RYGEL GLOBAL LTD,n/a,n/a,n/a,n/a,n/a,"$129,864,234",0.54%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,TCW ASSET MANAGEMENT COMPANY,n/a,n/a,n/a,n/a,n/a,"$124,319,310",0.51%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,ROBECO HONG KONG LTD,n/a,n/a,n/a,n/a,n/a,"$100,021,825",0.41%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,QIC LIMITED,n/a,n/a,n/a,n/a,n/a,"$70,893,786",0.29%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,PAG HOLDINGS LIMITED,n/a,n/a,n/a,n/a,n/a,"$68,164,160",0.28%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,NEUBERGER BERMAN,n/a,n/a,n/a,n/a,n/a,"$54,787,048",0.23%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,HPS INVESTMENT PARTNERS LLC,n/a,n/a,n/a,n/a,n/a,"$51,906,131",0.21%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,EIG GLOBAL ENERGY PARTNERS,n/a,n/a,n/a,n/a,n/a,"$44,648,897",0.18%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,HAYFIN CAPITAL MANAGEMENT LLP,n/a,n/a,n/a,n/a,n/a,"$36,796,291",0.15%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,VARDE PARTNERS INC,n/a,n/a,n/a,n/a,n/a,"$18,764,263",0.08%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,BARRENJOEY PRIVATE CAPITAL MANAGEMENT PTY LIMITED,n/a,n/a,n/a,n/a,n/a,"$13,132,559",0.05%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,CASPIAN CAPITAL LP,n/a,n/a,n/a,n/a,n/a,"$6,373,528",0.03%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,MAPLE-BROWN ABBOTT LIMITED,n/a,n/a,n/a,n/a,n/a,"$4,229,346",0.02%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,PARK SQUARE CAPITAL LLP,n/a,n/a,n/a,n/a,n/a,"$2,143,640",0.01%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,WESTBOURNE CAPITAL,n/a,n/a,n/a,n/a,n/a,"$1,553,811",0.01%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,n/a,n/a,n/a,n/a,n/a,n/a,,,,,"$3,969,355,912",16.41%,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,COMMONWEALTH BANK OF AUSTRALIA,n/a,CBA AU,"3,653,906",n/a,n/a,"$559,961,179",2.32%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,BHP GROUP LTD.,n/a,BHP AU,"11,573,968",n/a,n/a,"$457,750,404",1.89%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,NVIDIA CORP.,n/a,NVDA US,"1,467,631",n/a,n/a,"$318,320,166",1.32%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,CSL LTD.,n/a,CSL AU,"1,072,635",n/a,n/a,"$302,032,698",1.25%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,"AMAZON.COM, INC.",n/a,AMZN US,"782,384",n/a,n/a,"$277,229,928",1.15%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,NATIONAL AUSTRALIA BANK LTD.,n/a,NAB AU,"6,987,292",n/a,n/a,"$259,228,534",1.07%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,WESTPAC BANKING CORP.,n/a,WBC AU,"7,874,524",n/a,n/a,"$254,504,616",1.05%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,ANZ GROUP HOLDINGS LTD.,n/a,ANZ AU,"7,130,942",n/a,n/a,"$203,517,120",0.84%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,"APPLE, INC.",n/a,AAPL US,"490,739",n/a,n/a,"$198,483,364",0.82%,,,,,
