Name/Kind of Investment Item (file1),Listed Country,Name/Kind of Investment Item (file2)
Daimler Truck Holding AG,GR,DAIMLER TRUCK HOLDING AG
Daiwa Office Investment Corp,JP,DAIWA OFFICE INVESTMENT CORPORATION
Daiwa Securities Group Inc,JP,DAIWA SECURITIES GROUP INC.
Danaher Corp,US,DANAHER CORP
Danone SA,FP,DANONE
Darden Restaurants Inc,US,DARDEN RESTAURANTS INC
Datadog Inc,US,DATADOG INC
De Grey Mining Ltd,AU,DE GREY MINING LTD
Deere & Co,US,DEERE & CO
Dell Technologies Inc,US,DELL TECHNOLOGIES INC
Delta Air Lines Inc,US,DELTA AIR LINES INC
Delta Electronics Inc,TT,DELTA ELECTRONICS INC
Derwent London PLC,LN,DERWENT LONDON PLC
Descartes Systems Group Inc/The,CN,DESCARTES SYSTEMS GROUP INC
Deutsche Boerse AG,GR,DEUTSCHE BOERSE AG
Deutsche Lufthansa AG,GR,DEUTSCHE LUFTHANSA AG
Deutsche Post AG,GR,DEUTSCHE POST AG
Deutsche Telekom AG,GR,DEUTSCHE TELEKOM AG DEM
Deutsche Wohnen SE,GR,DEUTSCHE WOHNEN SE NPV BR
Develop Global Ltd,AU,DEVELOP GLOBAL LTD
Devon Energy Corp,US,DEVON ENERGY CORPORATION
Dexcom Inc,US,DEXCOM INC
Dexus,AU,DEXUS
Dexus Industria REIT,AU,DEXUS INDUSTRIA REIT ORDINARY UNITS STAPLED SECURITIES
DiaSorin SpA,IM,DIASORIN SPA
DiamondRock Hospitality Co,US,DIAMONDROCK HOSPITALITY COMPANY
Diamondback Energy Inc,US,DIAMONDBACK ENERGY INC
Dick's Sporting Goods Inc,US,DICK'S SPORTING GOODS INC
DigiCo Infrastructure REIT,AU,DIGICO INFRASTRUCTURE REIT FULLY PAID ORD UNITS STAPLED SECURITY
Digital Realty Trust Inc,US,DIGITAL REALTY TRUST INC
Dios Fastigheter AB,SS,DIOS FASTIGHETER AB
Disco Corp,JP,DISCO CORPORATION NPV
Discover Financial Services,US,DISCOVER FINANCIAL SERVICES
DocuSign Inc,US,DOCUSIGN INC
Dollar General Corp,US,DOLLAR GENERAL
Dollarama Inc,CN,DOLLARAMA INC
Dominion Energy Inc,US,DOMINION ENERGY INC
DoorDash Inc,US,DOORDASH INC
Douglas Emmett Inc,US,DOUGLAS EMMETT INC
Dover Corp,US,DOVER CORPORATION COM
Dow Inc,US,DOW INC
Dr Ing hc F Porsche AG,GR,DR ING HC F PORSCHE AG
Dream Industrial Real Estate Investment Trust,CN,DREAM INDUSTRIAL REAL ESTATE INVESTMENT TRUST
Dropbox Inc,US,DROPBOX INC
DuPont de Nemours Inc,US,DUPONT DE NEMOURS INC
Duke Energy Corp,US,DUKE ENERGY CORP COM
Dynatrace Inc,US,DYNATRACE INC
E Ink Holdings Inc,TT,E INK HOLDINGS INC
E.ON SE,GR,E.ON SE
EBOS Group Ltd,AU,EBOS GROUP LTD
EMCOR Group Inc,US,EMCOR GROUP INC
ENEOS Holdings Inc,JP,ENEOS HOLDINGS INC
EOG Resources Inc,US,EOG RESOURCES INC
EPAM Systems Inc,US,EPAM SYSTEMS INC
EQT AB,SS,EQT AB
EQT Corp,US,EQT CORPORATION
ESR-REIT,SP,ESR REIT
EXOR NV,,EXOR NV
EastGroup Properties Inc,US,EASTGROUP PROPERTIES INC
Easterly Government Properties Inc,US,EASTERLY GOVERNMENT PROPERTIES INC
Edison International,US,EDISON INTERNATIONAL
Edwards Lifesciences Corp,US,EDWARDS LIFESCIENCES CORP
Electronic Arts Inc,US,ELECTRONIC ARTS INC
Elevance Health Inc,US,ELEVANCE HEALTH INC
Elia Group SA/NV,BB,ELIA GROUP SA/NV
Emera Inc,CN,EMERA INC
Emerald Resources NL,AU,EMERALD RESOURCES NL ORDINARY FULLY PAID
Emerson Electric Co,US,EMERSON ELECTRIC CO
Empire State Realty Trust Inc,US,EMPIRE STATE REALTY TRUST INC
Empiric Student Property PLC,LN,EMPIRIC STUDENT PROPERTY PLC
Enbridge Inc,CN,ENBRIDGE INC
Endesa SA,SM,ENDESA SA
Enel SpA,IM,ENEL SPA
Eni SpA,IM,ENI SPA
Enphase Energy Inc,US,ENPHASE ENERGY INC
Entergy Corp,US,ENTERGY CORP NEW
Entra ASA,NO,ENTRA ASA
Epiroc AB,SS,EPIROC AB
Epiroc AB,SS,EPIROC AB SER B NPV POST SPLIT
Equifax Inc,US,EQUIFAX INC
Equinix Inc,US,EQUINIX INC COM
Equinor ASA,NO,EQUINOR ASA
Equitable Holdings Inc,US,EQUITABLE HOLDINGS INC
Equity LifeStyle Properties Inc,US,EQUITY LIFESTYLE PROPERTIES INC
Equity Residential,US,EQUITY RESIDENTIAL
Erste Group Bank AG,AV,ERSTE GROUP BANK AG
Essential Properties Realty Trust Inc,US,ESSENTIAL PROPERTIES REALTY TRUST INC
Essential Utilities Inc,US,ESSENTIAL UTILITIES INC
Essex Property Trust Inc,US,ESSEX PROPERTY TRUST INC
EssilorLuxottica SA,FP,ESSILORLUXOTTICA
Essity AB,SS,ESSITY AB SER B NPV
Etsy Inc,US,ETSY INC
Eurazeo SE,FP,EURAZEO
Eurocommercial Properties NV,,EUROCOMMERCIAL
Euronext NV,FP,EURONEXT NV
Evercore Inc,US,EVERCORE INC COM USD 0.01 CLASS A
Everest Group Ltd,US,EVEREST GROUP LTD
Evergy Inc,US,EVERGY INC COM NPV
Eversource Energy,US,EVERSOURCE ENERGY COM
Evolution AB,SS,EVOLUTION AB
Evonik Industries AG,GR,EVONIK INDUSTRIES AG
Exelixis Inc,US,EXELIXIS INC
Exelon Corp,US,EXELON CORPORATION
Expedia Group Inc,US,EXPEDIA GROUP INC
Extra Space Storage Inc,US,EXTRA SPACE STORAGE INC
Exxon Mobil Corp,US,EXXON MOBIL CORPORATION
FANUC Corp,JP,FANUC CORP NPV
FMC Corp,US,FMC CORP
Fabege AB,SS,FABEGE AB NPV POST SPLIT
Fabrinet,US,FABRINET
FactSet Research Systems Inc,US,FACTSET RESEARCH SYSTEMS INC
Fair Isaac Corp,US,FAIR ISAAC CORPORATION
Fast Retailing Co Ltd,JP,FAST RETAILING CO LTD
Fastenal Co,US,FASTENAL CO
Federal Realty Investment Trust,US,FEDERAL REALTY INVESTMENT TRUST
Ferrari NV,BQ,FERRARI NV COM
Fidelity National Information Services Inc,US,FIDELITY NATIONAL INFORMATION SERVICES INC
First Abu Dhabi Bank PJSC,UH,FIRST ABU DHABI BANK PJSC
First Industrial Realty Trust Inc,US,FIRST INDUSTRIAL REALTY TRUST
First Solar Inc,US,FIRST SOLAR INC
FirstEnergy Corp,US,FIRSTENERGY CORP USD
FirstService Corp,CN,FIRSTSERVICE CORP COM NPV
Firstgroup PLC,LN,FIRSTGROUP PLC
Fiserv Inc,US,FISERV INC COM
Fisher & Paykel Healthcare Corp Ltd,AU,FISHER & PAYKEL HEALTHCARE
Flex Ltd,US,FLEX LTD COM
Flughafen Zurich AG,SW,FLUGHAFEN ZURICH AG
Ford Motor Co,US,FORD MOTOR COMPANY
Fortinet Inc,US,FORTINET INC COM
Fortis Inc/Canada,CN,FORTIS INC
Fortive Corp,US,FORTIVE CORP
Four Corners Property Trust Inc,US,FOUR CORNERS PROPERTY TRUST INC
Fox Corp,US,FOX CORP
Fox Corp,US,FOX CORP COM
Franco-Nevada Corp,CN,FRANCO NEVADA CORP
Franco-Nevada Corp,US,FRANCO NEVADA CORP
Frasers Centrepoint Trust,SP,FRASERS CENTREPOINT TRUST
Frasers Logistics & Commercial Trust,SP,FRASERS LOGISTICS AND COMMERCIAL TRUST
Freeport-McMoRan Inc,US,FREEPORT  MCMORAN INC
Fresenius Medical Care AG,GR,FRESENIUS MEDICAL CARE AG & CO
Fuji Electric Co Ltd,JP,FUJI ELECTRIC CO LTD
Fukuoka REIT Corp,JP,FUKUOKA REIT CORP REIT
Futu Holdings Ltd,US,FUTU HOLDINGS LTD
GE Aerospace,US,GE AEROSPACE
GEA Group AG,GR,GEA GROUP AG
GPT Group/The,AU,GPT GROUP
GQG Partners Inc,AU,GQG PARTNERS INC
GSK PLC,LN,GSK PLC
