Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting,_Listed Country (before),_Listed Country (after)
31/12/2024,Care Super,Balanced,Listed Equity,1,AutoZone Inc,,AZO,US,402.0,,,2078028.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Avery Dennison Corp,,AVY,US,4808.0,,,1453274.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Avista Corp,,AVA,US,942.0,,,55716.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Aviva PLC,,AV/,LN,3076.0,,,29172.0,0.0,LN,United Kingdom
31/12/2024,Care Super,Balanced,Listed Equity,1,Avnet Inc,,AVT,US,133530.0,,,11283702.0,0.0003,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,AXA SA,,CS,FP,27911.0,,,1602026.0,0.0,FP,France
31/12/2024,Care Super,Balanced,Listed Equity,1,Axis Bank Ltd,,AXSB,IN,608357.0,,,12219307.0,0.0003,IN,India
31/12/2024,Care Super,Balanced,Listed Equity,1,Axis Capital Holdings Ltd,,AXS,US,4781.0,,,684357.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Axon Enterprise Inc,,AXON,US,3240.0,,,3110203.0,0.0001,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,B3 SA - Brasil Bolsa Balcao,,B3SA3,BZ,418388.0,,,1128822.0,0.0,BZ,Brazil
31/12/2024,Care Super,Balanced,Listed Equity,1,Bachem Holding AG,,BANB,SW,5245.0,,,541201.0,0.0,SW,Switzerland
31/12/2024,Care Super,Balanced,Listed Equity,1,BAE Systems PLC,,BA/,LN,38538.0,,,895289.0,0.0,LN,United Kingdom
31/12/2024,Care Super,Balanced,Listed Equity,1,Baidu Inc,,BIDU,US,17698.0,,,2409948.0,0.0001,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Baidu Inc,,9888,HK,28901.0,,,496961.0,0.0,HK,Hong Kong
31/12/2024,Care Super,Balanced,Listed Equity,1,Baillie Gifford Worldwide Positive Change Fund,,BGWPCAA,ID,102953.0,,,2720943.0,0.0001,ID,Ireland
31/12/2024,Care Super,Balanced,Listed Equity,1,Bajaj Auto Ltd,,BJAUT,IN,1048.0,,,173907.0,0.0,IN,India
31/12/2024,Care Super,Balanced,Listed Equity,1,Baker Hughes Co,,BKR,US,376860.0,,,24967776.0,0.0006,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Balchem Corp,,BCPC,US,19686.0,,,5182371.0,0.0001,US,United States
