Hostplus Superannuation Fund,,,,
HC Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
MOHAWK INDUSTRIES INC COM,2598699,"103,523","19,918,767",0.02%
MOLINA HEALTHCARE INC COM,2212706,531,"249,386",0.00%
MOLSON COORS BEVERAGE CO,B067BM3,"1,573","145,614",0.00%
MONADELPHOUS GROUP LIMITED NPV,6600471,"217,468","3,044,545",0.00%
MONASH IVF GROUP LTD MONASH IVF GROUP LT,BMSK748,"5,556,518","7,056,778",0.01%
MONCLER SPA,BGLP232,"622,111","53,042,210",0.06%
MONDAY.COM LTD,BMHRYX8,329,"125,282",0.00%
MONDELEZ INTERNATIONAL INC,B8CKK03,"12,742","1,229,236",0.00%
MONDI PLC,BMWC6P4,"495,058","11,936,565",0.01%
MONGODB INC MDB,BF2FJ99,621,"233,375",0.00%
MONOLITHIC POWER SYSTEMS INC COM STK USD,B01Z7J1,442,"422,361",0.00%
MONOTARO CO LTD MONOTARO CO,B1GHR88,"396,950","10,900,186",0.01%
MONSTER BEVERAGE CORP MNST,BZ07BW4,"378,767","32,153,751",0.04%
MONTAUK RENEWABLES INC,BMDMWB1,"222,102","1,577,832",0.00%
MONTAUK RENEWABLES INC,BN6HHQ0,"209,979","1,349,782",0.00%
MOODYS CORP COM,2252058,"141,736","108,364,032",0.13%
MORGAN STANLEY COM NEW,2262314,"166,765","33,861,983",0.04%
MOSAIC CO COM USD0.01,B3NPHP6,"3,457","137,251",0.00%
MOTOR OIL (HELLAS) SA EUR0.3 (CR),5996234,"183,839","6,346,026",0.01%
MOTORCOMM ELECTRONIC TECHN-A,CNE100005ZK0 (ISIN),"40,237","876,357",0.00%
MOTOROLA SOLUTIONS INC,B5BKPQ4,"33,448","24,971,120",0.03%
MOUNT GIBSON IRON LTD,6963743,"34,486,536","10,173,528",0.01%
MOWI ASA,B02L486,"2,805","77,685",0.00%
MP MATERIALS CORP,BN15Y35,"234,179","5,900,340",0.01%
MS&AD INSURANCE GROUP HOLDIN,B2Q4CS1,"96,336","3,414,620",0.00%
MSC INDUSTRIAL DIRECT CO-A CL A COM USD0,2567655,"108,571","13,097,276",0.02%
MSCI INC-A COM STK USD0.01 CLS'A',B2972D2,"34,514","33,447,454",0.04%
MTN GROUP LTD ZAR0.0001,6563206,"1,323,572","10,421,231",0.01%
MTR CORP,6290054,"21,498","121,134",0.00%
MTU AERO ENGINES AG,B09DHL9,614,"330,591",0.00%
MUENCHENER RUECKVER AG-REG,5294121,"1,184","964,777",0.00%
MULTIPLAN EMPREENDIMENTOS COM NPV,B23DZG0,"1,236,828","6,816,284",0.01%
MURATA MFG CO LTD,6610403,"16,105","423,634",0.00%
MUYUAN FOODSTUFF CO LTD-A,BD5CJX7,"297,799","2,518,408",0.00%
MYSTATE LTD NPV,B41XHK4,"247,234","1,102,664",0.00%
NANOSONICS LTD NPV,B1WF979,"2,631,103","7,919,619",0.01%
NANYANG TOPSEC TECHNOLOGIE-A,BD73L76,"790,278","1,121,396",0.00%
NASDAQ INC,2965107,"3,995","498,895",0.00%
NASPERS LTD-N SHS,BN0VX82,"52,217","18,651,685",0.02%
NATIONAL AUSTRALIA BANK LTD,6624608,"9,915,146","367,851,923",0.45%
NATIONAL BANK OF CANADA COM,2077303,"2,974","437,721",0.00%
NATIONAL BANK OF GREECE ETE,BG087C6,"920,991","11,798,819",0.01%
NATIONAL GRID PLC NG/LN,BDR05C0,"61,265","1,177,298",0.00%
NATIONAL STORAGE REIT REIT UNITS,BGP6479,"54,329","127,130",0.00%
NATWEST GROUP PLC,BM8PJY7,"400,572","3,258,078",0.00%
NAURA TECHNOLOGY GROUP CO-A,BD5LYF1,"80,001","6,881,647",0.01%
NAVER CORP,6560393,"142,020","30,991,014",0.04%
NEC CORP SHS,6640400,"2,959","417,242",0.00%
NEMETSCHEK SE,5633962,865,"135,439",0.00%
NESTE OIL OYJ NPV,B06YV46,"503,155","10,203,226",0.01%
NESTLE S A SHS,7123870,"376,713","50,272,697",0.06%
NETAPP INC,2630643,"2,173","407,331",0.00%
NETEASE INC,BM93SF4,"1,737,606","50,001,690",0.06%
NETFLIX INC COM USD0.001,2857817,"70,493","101,481,177",0.12%
NETWEALTH GROUP LTD NWL,BF52PL1,"2,036,792","58,557,764",0.07%
NEUREN PHARMACEUTICALS LTD NEU,B04LVF0,"632,157","7,901,965",0.01%
NEUROCRINE BIOSCIENCES INC COM USD0.001,2623911,927,"204,297",0.00%
NEW CHINA LIFE INSURANCE C-A,BP3R3F8,"79,013","863,917",0.00%
NEW HOPE CORP LTD,6681960,"6,472,287","32,102,544",0.04%
NEW WORLD DEVELOPMENT,BM94GQ4,"999,267","1,072,083",0.00%
NEWAY VALVE SUZHOU CO LTD-A,BS7K3W1,"709,688","3,461,409",0.00%
NEWMONT  CORP,2636607,"10,408","625,679",0.00%
NEWMONT CORP,BJYKTV2,399,"23,976",0.00%
NEWMONT CORP-CDI,BRDVMB3,"2,742,165","163,268,525",0.20%
NEWS CORP - CLASS B- CDI,BD7SZP7,"160,038","7,921,886",0.01%
NEWS CORP/NEW-CL A-W/I NEWS CORP/NEW-CL,BBGVT40,"5,956","264,919",0.00%
NEXGEN ENERGY LTD-CDR,BLR8K36,"10,025,200","108,372,417",0.13%
NEXI SPA NEXI,BJ1F880,"1,739,513","15,593,612",0.02%
NEXON CO LTD NPV,B63QM77,"72,992","1,782,690",0.00%
NEXT PLC SHS,3208986,"51,562","9,906,336",0.01%
NEXTDC LTD NPV,B5LMKP4,"4,610,205","69,475,794",0.08%
NEXTERA ENERGY INC,2328915,"20,777","2,405,768",0.00%
NIB HOLDINGS LTD NPV,B28ZM60,"2,774,332","15,203,337",0.02%
NIBE INDUSTRIER AB-B SHS,BN7BZM3,"18,498","116,918",0.00%
NICE LTD,6647133,919,"252,981",0.00%
NICK SCALI LTD NPV,B00VZV8,"398,358","5,979,348",0.01%
NICKEL INDUSTRIES LTD,BZ7NDP2,"53,275,950","43,952,658",0.05%
NIDEC CORP,6640682,"8,338","244,644",0.00%
NIHON KOHDEN CORP NPV,6639970,"13,290","294,475",0.00%
NIKE INC CL B,2640147,"210,866","25,771,143",0.03%
NINE ENTERTAINMENT CO HOLDIN NPV,BGQV183,"40,492,515","50,008,256",0.06%
NINESTAR CORP-A,BD5M2G1,"106,313","658,861",0.00%
NINGBO SHANSHAN CO LTD-A,BP3RF63,"1,045,795","1,714,045",0.00%
NINTENDO CORP LTD,6639550,"229,728","21,871,304",0.03%
NIPPON BUILDING FUND INC REIT,6396800,103,"129,291",0.00%
NIPPON PAINT HOLDINGS CO LTD,6640507,"11,320","119,073",0.00%
NIPPON SANSO HOLDINGS CORP,6640541,218,"9,894",0.00%
NIPPON STEEL CORP,6642569,"8,232","269,196",0.00%
NIPPON TELEGRAPH & TELEPHONE ORD,6641373,"297,313","482,762",0.00%
NIPPON TELEVISION HOLDINGS INC,6644060,"74,396","2,100,620",0.00%
NIPPON YUSEN KK,6643960,"3,138","170,042",0.00%
NISOURCE INC COM,2645409,"3,296","195,716",0.00%
NISSAN MOTOR CO LTD,6642860,"20,464","100,946",0.00%
NISSIN FOODS HOLDINGS CO LTD,6641760,"4,725","185,629",0.00%
NITORI CO LTD,6644800,671,"128,461",0.00%
NITTO DENKO CORP,6641801,"5,532","152,375",0.00%
NMC HEALTH PLC ORD GBP0.10,GB00B7FC0762,519,"9,850",0.00%
NN GROUP NV - W/I NN GROUP NV - W/I,BNG8PQ9,"4,262","299,898",0.00%
NOBLE CORP PLC,BN2QTL0,"276,848","14,040,274",0.02%
NOKIA OYJ,5902941,"57,758","412,904",0.00%
NOMAD FOODS LTD NOMD,BQFJGK5,"614,694","16,659,239",0.02%
NOMURA HOLDINGS INC SHS,6643108,"954,893","9,139,159",0.01%
NOMURA RESEARCH INSTITUTE,6390921,"4,694","224,750",0.00%
NORDEA BANK ABP NDA,BFM0SV9,"37,657","661,285",0.00%
NORDSON CORP COM NPV,2641838,346,"116,783",0.00%
NORFOLK SOUTHERN CORP COM,2641894,"2,174","824,056",0.00%
NORSK HYDRO ASA,B11HK39,"16,516","146,890",0.00%
NORTHAM PLATINUM HOLDINGS LT,BMZ1NS0,"689,623","5,749,712",0.01%
Northcape Capital Australia,MXP320321310 (ISIN),"4,814,216","66,451,991",0.08%
NORTHERN STAR RESOURCES LTD,6717456,"6,480,137","100,053,314",0.12%
NORTHERN TR CORP COM,2648668,"3,104","513,808",0.00%
NOVARTIS AG-REG SHS,7103065,"19,911","3,147,569",0.00%
NOVATEK OAO RUB0.1(USD),B19MY34,"47,133",0,0.00%
NOVO NORDISK A/S-B,BP6KMJ1,"32,310","4,523,038",0.01%
NOVONESIS (NOVOZYMES) B,B798FW0,"4,179","382,154",0.00%
NOVONIX LTD,BYZ6CM6,"1,101,640","809,705",0.00%
NRG ENERGY INC COM USD0.01,2212922,"2,254","328,501",0.00%
NRW HOLDINGS LTD,B23XW70,"3,782,025","14,522,974",0.02%
NTT DATA GROUP CORP,6125639,"7,551","235,121",0.00%
NU HOLDINGS LTD/CAYMAN ISL-A,BN6NP19,"2,177,813","36,440,507",0.04%
NUCOR CORP COM,2651086,"2,403","452,981",0.00%
NUFARM LIMITED NUFARM LIMITED,6335331,"29,476,810","104,347,907",0.13%
NUIX LTD,BMW7P63,"22,054","139,384",0.00%
NUTANIX INC - A NTNX,BYQBFT8,"2,490","246,060",0.00%
NUTRIEN LTD,BDRJLN0,"4,326","312,483",0.00%
NVIDIA CORP,2379504,"1,390,050","301,493,785",0.37%
NVR INC,2637785,26,"340,393",0.00%
NXP SEMICONDUCTORS NV,B505PN7,"2,497","838,297",0.00%
O.S.K. HOLDINGS BHD SHS,6655040,"10,001,047","6,430,091",0.01%
OAO GAZPROM-SPON ADR ADR REP 4 ORD RUB5,5140989,"66,374",0,0.00%
OBAYASHI CORP Y50,6656407,"13,325","286,609",0.00%
OBIC CO LTD,6136749,"245,796","11,854,621",0.01%
OBJECTIVE CORPORATION LTD OCL,6283407,"323,940","5,144,163",0.01%
OCCIDENTAL PETE CORP D COM,2655408,"219,155","17,489,200",0.02%
OCEANPAL INC,BRJVJ16,287,538,0.00%
OCEANPAL INC,MHY6430L2029 (ISIN),293,"204,086",0.00%
ODFJELL DRILLING LTD ODL,BDX87W2,"715,717","5,221,405",0.01%
ODONTOPREV S.A. COM NPV,B1H6R62,"1,724,132","4,895,173",0.01%
OFFSHORE OIL ENGINEERING-A,BP3R455,"1,344,810","1,618,333",0.00%
OFX GROUP LTD,BFG1Q58,"3,715,253","5,257,083",0.01%
OKAMOTO INDUSTRIES INC NPV,6657767,"38,496","2,270,875",0.00%
OKTA INC OKTA,BDFZSP1,"1,309","166,582",0.00%
OLD DOMIN FRGHT USD0.1,2656423,"56,110","15,986,025",0.02%
OLYMPUS CORP,6658801,"11,008","268,163",0.00%
OMNI BRIDGEWAY LTD-PLACEMENT,BM95XH7,"2,464,888","3,574,087",0.00%
OMNICOM GROUP INC COM,2279303,"1,715","238,333",0.00%
OMRON CORPORATION,6659428,"2,009","110,516",0.00%
OMV AG,4651459,"2,119","132,336",0.00%
ON SEMICONDUCTOR,2583576,"3,953","402,549",0.00%
ONEOK INC COM,2130109,"5,497","891,405",0.00%
ONEX CORP SUB VTG,2659518,"257,837","32,511,160",0.04%
ONO PHARMACEUTICAL CO LTD,6660107,"3,446","57,885",0.00%
OOH!MEDIA LTD OML,BSXN8D0,"13,352,034","15,755,400",0.02%
OPEN TEXT CORP COM,2260824,"3,624","165,570",0.00%
OPEN UP GROUP INC,B1XC021,"125,877","2,318,174",0.00%
OPTHEA LTD OPT,BYQ3YX1,"7,968,834","6,454,756",0.01%
OPTIMA BANK SA,BL571C1,"87,621","1,896,259",0.00%
ORA BANDA MINING LTD OBM,BKDX544,"68,408,220","44,465,343",0.05%
ORACLE CORP COM,2661568,"192,039","51,686,090",0.06%
ORACLE CORPORATION JAPAN ORACLE CORPORAT,6141680,237,"36,986",0.00%
ORANGE,5176177,"17,197","276,918",0.00%
OREILLY AUTO NEW,B65LWX6,573,"1,098,052",0.00%
ORICA LTD,6458001,"6,726,557","111,526,312",0.14%
ORIENTAL LAND CO LTD,6648891,"9,737","342,432",0.00%
ORIGIN ENERGY LTD,6214861,"15,178,394","165,444,498",0.20%
ORION CORP SER'B'NPV,B17NY40,"2,577","184,384",0.00%
ORIX CORP ORD,6661144,"10,978","384,481",0.00%
ORKLA BORREGARD AS ORD CL A,B1VQF42,"3,711","51,904",0.00%
ORORA LTD,BH4TCW7,"29,587,066","72,784,182",0.09%
ORSTED A/S,BYT16L4,"2,274","165,330",0.00%
OSAKA GAS CO LTD,6661768,"2,489","88,510",0.00%
OTIS WORLDWIDE CORP-W/I,BK531S8,"4,213","630,097",0.00%
OTSUKA CORP NPV,6267058,"2,025","75,107",0.00%
OTSUKA HOLDINGS CO LTD NPV,B5LTM93,"3,852","340,455",0.00%
OVERSEA-CHINESE BANKING CORP,B0F9V20,"26,997","533,461",0.00%
OVINTIV INC,BJ01KB6,"1,987","129,962",0.00%
OVS SPA,BW0D7R8,"1,736,884","9,870,710",0.01%
OWENS CORNING INC COM STK USD0.01,B1FW7Q2,"1,190","327,223",0.00%
PACCAR INC COM,2665861,"5,173","869,113",0.00%
PACIFIC BASIN SHIPPING LTD,B01RQM3,"31,831,232","10,854,122",0.01%
PACKAGING CORP OF AMERICA COM,2504566,741,"269,289",0.00%
PALADIN ENERGY LTD,6668468,"1,665,778","12,593,283",0.02%
PALANTIR TECHNOLOGIES INC-A,BN78DQ4,"20,810","2,541,933",0.00%
PALO ALTO NETWORKS INC PALO ALTO NETWORK,B87ZMX0,"6,438","1,891,926",0.00%
PAN AMERICAN SILVER CORP COM NPV,2669272,"4,784","156,240",0.00%
PAN PACIFIC INTERNATIONAL HOLDINGS CORP,6269861,"3,135","139,074",0.00%
PANASONIC HOLDINGS CORP,6572707,"23,522","397,163",0.00%
PANDORA A/S DKK1,B44XTX8,"1,080","319,026",0.00%
PANTORO LTD,6210289,"48,317,571","4,348,581",0.01%
PARAGON BANKING GROUP PLC,B2NGPM5,"627,205","9,432,731",0.01%
PARKER HANNIFIN CORP,2671501,"1,217","1,250,275",0.00%
PARKLAND CORP,BLFHPV8,"2,448","89,365",0.00%
PARTNERS GROUP HOLDING AG,B119QG0,"10,373","22,738,522",0.03%
PAYCHEX INC COM,2674458,"3,177","719,508",0.00%
PAYCOM SOFTWARE INC PAYC,BL95MY0,616,"203,906",0.00%
PAYLOCITY HOLDING CORP PCTY,BKM4N88,"70,205","22,617,652",0.03%
PAYPAL HOLDINGS INC,BYW36M8,"72,188","9,951,189",0.01%
PB FINTECH LTD,INE417T01026 (ISIN),"469,557","18,680,161",0.02%
PDD HOLDINGS INC,BYVW0F7,"347,775","54,478,993",0.07%
PEABODY ENERGY CORP BTU,BDVPZV0,"374,996","12,682,562",0.02%
PEARSON PLC ORD,677608,"8,647","224,221",0.00%
PEET LTD NPV,B01QLP8,"11,516,548","16,756,577",0.02%
PEMBINA PIPELINE CORP COM NPV,B4PT2P8,"3,393","202,346",0.00%
PENTAIR PLC,BLS09M3,"1,225","199,089",0.00%
PEPSICO INC COM,2681511,"13,437","3,300,172",0.00%
PERENTI LTD,BKRKNV4,"1,935,709","2,700,314",0.00%
PERMANENT TSB GROUP HOLDINGS IPM,BWB8X52,"1,060,181","2,553,270",0.00%
PERMIAN BASIN ROYALTY TRUST UNITS OF BNF,2681964,"74,667","1,336,201",0.00%
PERNOD RICARD ACT,4682329,"4,512","822,447",0.00%
PERPETUAL TRUSTEES AUSTRALIA,6682394,"13,160","261,760",0.00%
PERSEUS MINING LTD NPV,B02FBC1,"3,517,306","9,039,476",0.01%
PERSIMMON,682538,"3,510","85,063",0.00%
PET VALU HOLDINGS LTD,BKY8LF1,"654,420","18,549,456",0.02%
PETRA DIAMONDS LTD-DI,BNYNCZ4,"318,437","199,679",0.00%
PETRO RIO SA PRIO3,BYY0144,"826,497","8,675,504",0.01%
PETROBRAS - PETROLEO BRAS COM NPV,2682365,"717,316","7,390,686",0.01%
PETROCHINA CO LTD-A,BP3R206,"3,773,287","7,421,246",0.01%
PETROCHINA CO LTD-H,6226576,"4,324,015","5,493,205",0.01%
PETRONAS CHEMICALS GROUP BHD,B5KQGT3,"6,955,383","12,988,627",0.02%
PEXA GROUP LTD,BMD0WJ3,"525,778","6,866,667",0.01%
PFIZER INC COM,2684703,"56,405","2,416,906",0.00%
PG&E CORP COM,2689560,"18,159","591,848",0.00%
PHILIP MORRIS INTERNAT NPV,B2PKRQ3,"521,084","101,287,955",0.12%
PHILIPS LIGHTING NV,BYY7VY5,"635,685","22,942,877",0.03%
PHILLIPS 66 COM USD0.01,B78C4Y8,"4,564","839,778",0.00%
PHOENIX GROUP HOLDINGS PLC PHNX,BGXQNP2,"2,266","23,380",0.00%
PICC HOLDING CO-A,BDFS9G8,"1,307,319","2,191,574",0.00%
PIEDMONT LITHIUM LTD,BF1CV51,"12,026,584","1,743,855",0.00%
PILBARA MINERALS LTD PLS,B2368L5,"32,312,182","70,763,678",0.09%
PINEWOOD TECHNOLOGIES GROUP,BSB7BS0,"983,651","7,143,034",0.01%
PING AN BANK CO LTD-A,BD5CPS4,"6,996","18,008",0.00%
PING AN INSURANCE GROUP CO-A,BP3R284,"2,738,562","31,720,532",0.04%
PING AN INSURANCE GROUP CO-H,B01FLR7,"8,251,069","79,001,845",0.10%
PINNACLE INVESTMENT MANAGEME PNI,BD0F7H1,"2,113,335","48,289,701",0.06%
PINTEREST INC- CLASS A PINS,BJ2Z0H2,"5,413","253,516",0.00%
PIRAEUS FINANCIAL HOLDINGS S,BNC0DB0,"264,313","1,701,895",0.00%
PKO BANK POLSKI SA PLN1,B03NGS5,"955,079","22,317,305",0.03%
PNC FINL SVCS GROUP IN COM,2692665,"24,128","7,515,385",0.01%
POLYNOVO LTD,BSJBZM6,"38,916","79,389",0.00%
POP MART INTERNATIONAL GROUP,BN6PP37,"1,292,034","24,083,611",0.03%
PORSCHE AUTOMOBIL HLDG-PRF,7101069,"1,584","96,299",0.00%
POSTLE ITALIANE SPA PST,BYYN701,"4,087","93,091",0.00%
POWER ASSETS HOLDINGS LTD,6435327,"15,539","175,109",0.00%
POWER CORP CDA COM,2697701,"7,433","374,308",0.00%
POWER GRID CORP OF INDIA LTD,B233HS6,"3,670,075","21,372,660",0.03%
PPG INDS INC COM,2698470,"114,489","22,087,814",0.03%
PPL CORP COM,2680905,"9,562","501,324",0.00%
PRADA SPA EUR0.1,B4PFFW4,"1,473,478","18,427,931",0.02%
PRAIRIESKY ROYALTY LTD PSK,BN320L4,"382,380","12,036,593",0.01%
PREMIER INVESTMENTS LIMITED NPV,6699781,"560,079","17,995,335",0.02%
PRIMARIUS TECHNOLOGIES CO -A,CNE1000055M9 (ISIN),"31,514","131,103",0.00%
PRINCIPAL FINANCIAL GR COM,2803014,"2,349","293,679",0.00%
PRO MEDICUS LTD PME,6292782,"217,761","54,466,345",0.07%
PROCTER & GAMBLE CO COM,2704407,"24,223","6,558,904",0.01%
PROGRESS SOFTWARE CORP COM USD0.01,2705198,"133,860","14,085,361",0.02%
PROGRESSIVE CORP OHIO COM,2705024,"5,798","2,243,950",0.00%
PROLOGIS INC,B44WZD7,"9,674","1,651,538",0.00%
PROLOGIS PROPERTY MEXICO SA FIBRAPL,BN56JP1,"2,706,848","12,176,220",0.01%
PROPEL FUNERAL PARTNERS LTD,BYWQNJ3,"1,476,389","8,666,403",0.01%
PROSUS PRX,BJDS7L3,"15,715","1,007,920",0.00%
PROYA COSMETICS CO LTD-A,BKM3FN4,"532,251","9,917,892",0.01%
PRUDENTIAL FINL INC COM,2819118,"4,352","833,186",0.00%
PRUDENTIAL PLC,709954,"179,455","2,312,294",0.00%
PRYSMIAN SPA NPV,B1W4V69,"2,538","261,725",0.00%
PTC INC COM USD0.01,B95N910,"64,475","19,147,346",0.02%
PUBLIC BANK BHD,B012W42,"14,701,348","24,214,397",0.03%
PUBLIC STORAGE COM USD0.10,2852533,"1,462","706,883",0.00%
PUBLIC SVC ENTERPRISE COM,2707677,"5,170","705,490",0.00%
PUBLICIS GROUPE ACT,4380429,"2,331","401,543",0.00%
PULTE GROUP INC,2708841,"1,833","322,384",0.00%
PUMA SE,5064722,"3,188","236,554",0.00%
PURE STORAGE INC - CLASS A PSTG,BYZ62T3,"3,307","328,101",0.00%
PYC THERAPEUTICS LTD,B06NPT6,"2,031,635","2,681,759",0.00%
PYLON TECHNOLOGIES CO LTD-A,BQ3RX88,"177,834","1,566,882",0.00%
QANTAS AIRWAYS LIMITED,6710347,"26,210,709","235,110,063",0.29%
QBE INSURANCE GROUP LTD,6715740,"16,644,998","319,583,959",0.39%
QIAGEN N.V.,BMHCW17,"1,287","92,630",0.00%
QORIA LTD,BMXLP20,"6,653,512","3,260,221",0.00%
QORVO INC,BR9YYP4,754,"85,203",0.00%
QUALCOMM INC,2714923,"32,054","7,952,967",0.01%
QUANTA COMPUTER INC,6141011,"830,430","11,741,337",0.01%
QUANTA SERVICES INC COM USD0.00001,2150204,"1,463","746,590",0.00%
QUBE HOLDINGS LTD,B1L4BC6,"25,150,749","99,848,472",0.12%
QUEBECOR INC  -CL B CLASS'B'SUB VTG NPV,2715777,"3,182","112,567",0.00%
QUECTEL WIRELESS SOLUTIONS-A,BK71FL1,"103,195","1,553,781",0.00%
QUEENSLAND PACIFIC METALS LTD,AU0000122251 (ISIN),"4,405,614",0,0.00%
QUEST DIAGNOSTICS COM,2702791,"1,062","258,659",0.00%
RAKUTEN GROUP INC,6229597,"28,673","253,095",0.00%
RAMELIUS RESOURCES LTD NPV,6586872,"2,758,638","5,710,380",0.01%
RAMSAY HEALTH CARE LIMITED SHS,6041995,"1,351,533","46,681,936",0.06%
RANDSTAD HOLDING NV,5228658,626,"42,656",0.00%
RATIONAL AG NPV,5910609,53,"73,377",0.00%
RAYMOND JAMES FINANCIAL INC COM,2718992,"2,196","550,929",0.00%
RB GLOBAL INC,BMWGTH9,"2,292","333,987",0.00%
REA GROUP LIMITED,6198578,"603,012","140,688,776",0.17%
READYTECH HOLDINGS LTD,BJQP1P3,"1,946,110","6,032,940",0.01%
REALIA BUSINESS SA ORD EUR0.24,B1YJJX5,"1,273,439","2,172,364",0.00%
REALTY INCOME CORP COM USD1,2724193,"7,734","667,157",0.00%
RECKITT BENCKISER GROUP PLC,B24CGK7,"6,544","639,720",0.00%
RECORDATI SPA EUR0.5,B07DRZ5,"2,040","172,659",0.00%
RECRUIT HOLDINGS CO LTD 6098,BQRRZ00,"178,472","20,441,473",0.03%
REDEIA CORP SA,BD6FXN3,"1,589","43,861",0.00%
REDOX LTD/AUSTRALIA,BQ81P89,"1,791,006","8,166,989",0.01%
REECE LTD,6728801,"746,228","16,700,575",0.02%
REGENCY CENTERS CORP COM USD0.01,2726177,"1,609","192,120",0.00%
REGENERON PHARMACEUTIC COM,2730190,"1,229","1,414,334",0.00%
REGION GROUP,BPBMY63,"14,178,133","29,348,735",0.04%
REGIONS FINL CORP COM,B01R311,"10,538","400,326",0.00%
REGIS HEALTHCARE LTD,BQV68F9,"1,270,405","7,622,433",0.01%
REGIS RESOURCES LTD NPV,6476542,"2,205,050","5,622,878",0.01%
RELIANCE INC,2729068,"42,795","18,610,839",0.02%
RELIANCE INDUSTRIES LTD,6099626,"2,283,304","52,353,748",0.06%
RELIANCE WORLDWIDE CORP LTD RWC,BD1DM79,"8,953,383","44,945,983",0.05%
RELX PLC,B2B0DG9,"18,518","1,359,305",0.00%
REMY COINTREAU,4741714,"178,035","17,388,903",0.02%
RENAULT SA,4712798,"4,386","345,125",0.00%
RENESAS ELECTRONICS CORP,6635677,"15,289","321,544",0.00%
RENEWI PLC,BNR4T86,"1,727,197","28,264,260",0.03%
RENTOKIL INITIAL PLC,B082RF1,"29,653","240,405",0.00%
REPLIGEN CORP COM USD0.01,2731654,"102,503","23,829,805",0.03%
REPSOL SA,5669354,"16,108","314,923",0.00%
REPUBLIC SVCS INC COM,2262530,"2,109","685,193",0.00%
RESMED INC COM USD0.004,2732903,"43,365","16,017,264",0.02%
RESMED INC-CDI RESMED INC-CDI,6221667,"7,918,925","291,178,857",0.36%
RESOLUTE MINING LTD NPV,6410636,"4,445,727","1,756,062",0.00%
RESONA HOLDINGS INC NPV,6421553,"33,358","392,350",0.00%
RESTAURANT BRANDS INTERN QSR,BTF8CF0,"2,932","308,443",0.00%
REVVITY INC,2305844,"1,302","234,631",0.00%
REXEL SA EUR5,B1VP0K0,898,"36,940",0.00%
REYSAS GAYRIMENKUL YATIRIM O,B3VKHD1,"4,669,043","3,625,436",0.00%
REYSAS TICARET AS,B0YBSZ9,"3,285,179","3,382,178",0.00%
RH,BYXR425,"15,817","10,054,840",0.01%
RICHARD PIERIS & CO PLC RICH,6737603,"4,646,320","655,676",0.00%
RICOH COMPANY LIMITED,6738220,"6,419","119,494",0.00%
RIDLEY CORPORATION LIMITED SHS,6738929,"560,143","1,512,386",0.00%
RIGHTMOVE PLC,BGDT3G2,"1,439,855","18,692,421",0.02%
RINNAI CORPORATION,6740582,"115,871","3,880,796",0.00%
RIO TINTO LTD NPV,6220103,"2,077,817","244,060,333",0.30%
RIO TINTO PLC - REG,718875,"126,545","12,089,572",0.01%
RIVIAN AUTOMOTIVE INC-A,BL98841,"990,802","21,283,471",0.03%
RLX TECHNOLOGY INC-ADR,BMBKL76,"440,961","1,538,361",0.00%
ROBINHOOD MARKETS INC - A,BP0TQN6,"6,044","363,701",0.00%
ROBINSONS RETAIL HOLDINGS INC,BFTCYP4,"786,392","790,479",0.00%
ROBLOX CORP -CLASS A,BMWBC20,"396,453","37,048,847",0.05%
ROCHE HOLDING AG-BEARER AKT,7108918,574,"276,851",0.00%
ROCHE HOLDING AG-GENUSSCHEIN,7110388,"104,328","47,505,955",0.06%
ROCKCHIP ELECTRONICS CO L-A,BL58MB0,"78,784","1,907,609",0.00%
ROCKWELL AUTOMATION IN COM,2754060,"45,638","21,065,721",0.03%
ROCKWOOL A/S,4713490,67,"38,315",0.00%
ROGERS COMMUNICATIONS INC-B,2169051,"91,352","4,533,453",0.01%
ROKU INC ROKU,BZ1LFG7,"1,205","144,646",0.00%
ROLLINS INC COM USD1,2747305,"2,678","200,506",0.00%
ROPER TECHNOLOGIES INC,2749602,931,"781,571",0.00%
ROSS STORES INC COM,2746711,"3,160","772,149",0.00%
ROX RESOURCES LTD,B00GBJ3,"13,357,556","2,671,511",0.00%
ROYAL BANK OF CANADA COM,2754383,"14,469","2,816,184",0.00%
ROYAL CARIBBEAN CRUISES LTD COM,2754907,"2,152","801,772",0.00%
ROYALTY PHARMA PLC- CL A,BMVP7Y0,"3,435","141,522",0.00%
RPM INC/OHIO COM,2756174,982,"195,199",0.00%
RS GROUP PLC,309644,"1,144,455","15,776,540",0.02%
RWE AG,4768962,"73,167","3,527,904",0.00%
RYAN SPECIALTY HOLDINGS INC,BNXKSK3,"127,898","13,253,548",0.02%
RYANAIR HOLDINGS PLC-SP ADR,BYYN585,"277,077","19,507,074",0.02%
S F HOLDING CO LTD-A,BD73M39,"727,767","6,452,337",0.01%
S&P GLOBAL INC,BYV2325,"103,760","83,462,272",0.10%
SAAB AB-B,BPXZH27,"1,815","61,990",0.00%
SAGA PLC,BMX64W8,"2,518,720","6,144,328",0.01%
SAGAX AB-B SAGAB,B9M3PK4,"2,567","84,875",0.00%
SAGE GROUP PLC/THE,B8C3BL0,"14,705","378,649",0.00%
SAIC MOTOR CORPORATION LTD-A,BP3R2D9,"393,010","1,794,944",0.00%
